* Categories *,* Colour *,* ID *
SADD,#8D4D6D,-1
Otago Polytechnic,#005A8C,0
Social and Community Services,#4e6e9f,1
Service Industries,#4d9d91,2
Primary Industries,#599d4d,3
Creative Industries,#959d4d,4
Construction and Infrastructure,#E26605,5
Manufacturing and Technology,#9d4d59,6
* Videos *,* Video DIRECT Link *,* ID *
"Aeronautical Engineering",https://www.youtube.com/embed/yMNGKMUzKfw,3
"Aeronautical Engineering",https://www.youtube.com/embed/yMNGKMUzKfw,8
"Agricultural Scientist ",https://www.youtube.com/embed/0seKBvgXQps,3
"Agricultural Scientist ",https://www.youtube.com/embed/0seKBvgXQps,5
"Agricultural Scientist ",https://www.youtube.com/embed/0seKBvgXQps,8
"Aircraft Engineering",https://www.youtube.com/embed/OUBFEcCULoE,3
"Aircraft Engineering",https://www.youtube.com/embed/OUBFEcCULoE,8
"Airport Customer Services",https://www.youtube.com/embed/pW4JyOIQFro,3
"Amenity Horticulture",https://www.youtube.com/embed/gKToW66aGK0,5
"Amenity Horticulture",https://www.youtube.com/embed/gKToW66aGK0,7
"Anaesthetic Technician",https://www.youtube.com/embed/-JnMRrVdsJw,3
"Apprentice Electrician ",https://www.youtube.com/embed/egZU2LmciF4,7
"Apprentice Electrician ",https://www.youtube.com/embed/egZU2LmciF4,8
"Aquaculture",https://www.youtube.com/embed/EdW8AvxJuwU,5
"Aquaculture - Mussel Farming ",https://www.youtube.com/embed/PZ2bVkoIpI4,5
"Arboriculture",https://www.youtube.com/embed/-BkjZ23Cem8,5
"Army Officer",https://www.youtube.com/embed/_D8fUtg8nIc,3
"Army Officer",https://www.youtube.com/embed/_D8fUtg8nIc,4
"Auckland Council",https://www.youtube.com/embed/p58CSGnItZE,3
"Auckland Council",https://www.youtube.com/embed/p58CSGnItZE,4
"Auckland Council",https://www.youtube.com/embed/p58CSGnItZE,5
"Automotive Collision Repair",https://www.youtube.com/embed/mkOoWobx4aA,8
"Automotive Electrical Engineering ",https://www.youtube.com/embed/h7kAwmkwaD4,8
"Automotive Engineering",https://www.youtube.com/embed/4O5Hbwnrvmg,8
"Automotive Heavy Engineering",https://www.youtube.com/embed/LxMFzYqJ2EQ,8
"Automotive Heavy Engineering",https://www.youtube.com/embed/4YR-t-Ao4cs,8
"Automotive Heavy Engineering - Agricultural Equipment",https://www.youtube.com/embed/4FtROM9PF80,8
"Automotive Refinisher",https://www.youtube.com/embed/6a0tR_NnMag,8
"Automotive Services Advisor",https://www.youtube.com/embed/p62dsMKhBnQ,8
"Automotive Technician",https://www.youtube.com/embed/UFSIly07g8o,8
"Automotive Workshop Supervisor",https://www.youtube.com/embed/uPoi1lJmHho,8
"Baking",https://www.youtube.com/embed/lHOM-0E4oNo,4
"Baking",https://www.youtube.com/embed/lHOM-0E4oNo,6
"Baking",https://www.youtube.com/embed/lHOM-0E4oNo,8
"Banking - Customer Services Consultant ANZ",https://www.youtube.com/embed/jtNsN8PK96M,4
"Banking - Customer Services Officer ANZ",https://www.youtube.com/embed/b7Jf1E_MZZo,4
"Banking - Lending Services Officer ANZ ",https://www.youtube.com/embed/sltL5YjuUIk,4
"Brewer",https://www.youtube.com/embed/lacLug5XhJw,4
"Brewer",https://www.youtube.com/embed/lacLug5XhJw,8
"Building and Carpentry",https://www.youtube.com/embed/dXanRR2Md8k,7
"Bus Driving",https://www.youtube.com/embed/a9Jh2vEfPPs,4
"Canvas Fabrication Technician",https://www.youtube.com/embed/fqwMOvro3KQ,7
"Canvas Fabrication Technician",https://www.youtube.com/embed/fqwMOvro3KQ,8
"Career Firefighter ",https://www.youtube.com/embed/dEYWQcUgUc8,3
"Carls Jr",https://www.youtube.com/embed/VrXJMLRd1IQ,4
"Carpenter",https://www.youtube.com/embed/qtFR9VwAdls,6
"Carpenter",https://www.youtube.com/embed/qtFR9VwAdls,7
"Carpentry",https://www.youtube.com/embed/nc_32xhkxTI,6
"Carpentry",https://www.youtube.com/embed/nc_32xhkxTI,7
"Carpentry CHCH",https://www.youtube.com/embed/0kvuFQn39io,6
"Carpentry CHCH",https://www.youtube.com/embed/0kvuFQn39io,7
"Carpet and Vinyl Installation",https://www.youtube.com/embed/qEuFwTwQ0Qs,7
"Civil Construction",https://www.youtube.com/embed/AarBa5TomkY,7
"Civil Construction",https://www.youtube.com/embed/AarBa5TomkY,8
"Civil Engineer ",https://www.youtube.com/embed/VpeeaClpXnM,7
"Civil Engineer ",https://www.youtube.com/embed/VpeeaClpXnM,8
"Civil Engineering",https://www.youtube.com/embed/GcLX8Dv2KyQ,7
"Civil Engineering",https://www.youtube.com/embed/GcLX8Dv2KyQ,8
"Civil Engineering Technician",https://www.youtube.com/embed/HtVxO18jLnc,7
"Civil Engineering Technician",https://www.youtube.com/embed/HtVxO18jLnc,8
"Civil Laboratory Technician",https://www.youtube.com/embed/2R3rQHDGjzM,7
"Civil Laboratory Technician",https://www.youtube.com/embed/2R3rQHDGjzM,8
"Coca Cola - Graduate Opportunites ",https://www.youtube.com/embed/2HDAvCgJ5tE,4
"Coca Cola Amatil - Key Account Manager ",https://www.youtube.com/embed/KDVC_NfKnUk,4
"Commercial Construction",https://www.youtube.com/embed/phDFeeVSy9g,7
"Commercial Flooring",https://www.youtube.com/embed/5dhvM7Qlm8E,7
"Commercial Flooring",https://www.youtube.com/embed/5dhvM7Qlm8E,8
"Community Care and Support",https://www.youtube.com/embed/8FwlWpsmTu0,3
"Community Health Worker",https://www.youtube.com/embed/0qdkSeVeSSQ,3
"Community Healthcare",https://www.youtube.com/embed/FGbshtLPd5k,3
"Concrete Construction",https://www.youtube.com/embed/SpkMGaL1iXE,7
"Corrections Case Manager",https://www.youtube.com/embed/Ticp55HIPw0,3
"Corrections Inmate Employment Instructor",https://www.youtube.com/embed/fTKVPJLgFLQ,3
"Corrections Officer",https://www.youtube.com/embed/W2LwmYl8rJQ,3
"Corrections Probation Officer and Community Work Supervisor",https://www.youtube.com/embed/rp_aiS7EYOA,3
"Corrections Psychologist and Programme Facilitator",https://www.youtube.com/embed/ksJjz6crBp4,3
"Crane Operation",https://www.youtube.com/embed/TYB7UmbLR14,7
"Crane Operation",https://www.youtube.com/embed/TYB7UmbLR14,8
"Crane Operator ",https://www.youtube.com/embed/aHTVWoKE2bw,7
"Crane Operator ",https://www.youtube.com/embed/aHTVWoKE2bw,8
"Customs",https://www.youtube.com/embed/lWJiRhEB8K0,3
"Customs",https://www.youtube.com/embed/lWJiRhEB8K0,4
"Dairy Farmer ",https://www.youtube.com/embed/Xnx4GZbaz3E,5
"Dairy Farming",https://www.youtube.com/embed/N26T7Iai1GA,5
"Deep Sea Fishing - Deckhand ",https://www.youtube.com/embed/6_A_o8YNy9E,4
"Deep Sea Fishing - Deckhand ",https://www.youtube.com/embed/6_A_o8YNy9E,5
"Deep Sea Fishing - Engineering",https://www.youtube.com/embed/JaloE59sldc,5
"Deep Sea Fishing - Engineering",https://www.youtube.com/embed/JaloE59sldc,8
"Deep Sea Fishing - Processing ",https://www.youtube.com/embed/4b3AQ44P5Hk,5
"Deep Sea Fishing - Processing ",https://www.youtube.com/embed/4b3AQ44P5Hk,8
"Dental Hygenist",https://www.youtube.com/embed/Kc5aIRnKrpc,3
"Dentistry and Oral Health",https://www.youtube.com/embed/dccB3YnJQu8,3
"Dentistry and Oral Health Hygiene and Therapy",https://www.youtube.com/embed/o6Q72lyxluI,3
"DOC Ranger",https://www.youtube.com/embed/6I9YcveLWWE,3
"DOC Ranger",https://www.youtube.com/embed/6I9YcveLWWE,5
"Drainlaying",https://www.youtube.com/embed/gbTz3QZQQwQ,7
"Drilling",https://www.youtube.com/embed/0R81mDJGqt4,7
"Early Childhood Teacher (Kaiako) Te Puna Reo ",https://www.youtube.com/embed/fo7WHHjv0MM,3
"Early Childhood Teaching",https://www.youtube.com/embed/NvAMYppiG-k,3
"Eco Tourism",https://www.youtube.com/embed/mIFcOIOr42s,4
"Educational Psychologist Teacher",https://www.youtube.com/embed/MvyjQAnE6bQ,3
"Electrical Engineering",https://www.youtube.com/embed/bExHT5hZwHE,7
"Electrical Engineering",https://www.youtube.com/embed/bExHT5hZwHE,8
"Electrician",https://www.youtube.com/embed/7w7TxLHB1sI,7
"Electrician",https://www.youtube.com/embed/7w7TxLHB1sI,8
"Emergency Response",https://www.youtube.com/embed/4Tp3U2Evd1I,3
"Equine Industry",https://www.youtube.com/embed/HTk4_RzS_hA,5
"Fashion",https://www.youtube.com/embed/22GhYTsKJk8,4
"Fire Investigator",https://www.youtube.com/embed/bwuxi_aW39A,3
"Fire Protection",https://www.youtube.com/embed/E5uugUu6LCg,3
"Fire Risk Management",https://www.youtube.com/embed/vgE0-WNDyMo,3
"Firefighting with the NZ Fire Service",https://www.youtube.com/embed/qUh0jcGqZlM,3
"Fitness Instructor ",https://www.youtube.com/embed/rFDgh9dqfAg,4
"Floristry",https://www.youtube.com/embed/hAK_dkQcjOk,4
"Floristry",https://www.youtube.com/embed/hAK_dkQcjOk,6
"Food Technologist in the Seafood Industry",https://www.youtube.com/embed/Y0Um5zaTSVE,5
"Food Technologist in the Seafood Industry",https://www.youtube.com/embed/Y0Um5zaTSVE,8
"Food Technologist in the Seafood Industry ",https://www.youtube.com/embed/Y0Um5zaTSVE,5
"Food Technologist in the Seafood Industry ",https://www.youtube.com/embed/Y0Um5zaTSVE,8
"Forestry",https://www.youtube.com/embed/lTaU9ZE45vg,5
"Forestry Truck Driver ",https://www.youtube.com/embed/9Teew6OTV6E,4
"Frame and Truss Manufacturing ",https://www.youtube.com/embed/WZVjPgGn2ns,7
"Frame and Truss Manufacturing ",https://www.youtube.com/embed/WZVjPgGn2ns,8
"Freight Forward - Export",https://www.youtube.com/embed/_3Hz_2tOw8M,4
"Freight Forwarder ",https://www.youtube.com/embed/VAIhY8fArvk,4
"Freight Forwarding - Import",https://www.youtube.com/embed/3uUeHeoM_gE,4
"Fruit Production",https://www.youtube.com/embed/bpYHwJs3-4Y,5
"Furniture Manufacturing",https://www.youtube.com/embed/utHqEjyiCEI,6
"Furniture Manufacturing",https://www.youtube.com/embed/utHqEjyiCEI,8
"Gardener",https://www.youtube.com/embed/PhL00P2kZkM,4
"Gardener",https://www.youtube.com/embed/PhL00P2kZkM,5
"Gas Technician",https://www.youtube.com/embed/hMdMj9wCmlo,7
"General Practitioner and Medical Lab Scientist",https://www.youtube.com/embed/Vg6E4k1KbKE,3
"Glass Making Industry",https://www.youtube.com/embed/rh1__rssMU4,7
"Glass Making Industry",https://www.youtube.com/embed/rh1__rssMU4,8
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,5
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,7
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,8
"Golf Course Management ",https://www.youtube.com/embed/qvotefPGpUc,4
"Golf Course Management ",https://www.youtube.com/embed/qvotefPGpUc,5
"Hairdresser/Barber",https://www.youtube.com/embed/KoPueruP_X0,4
"Hairdresser/Barber",https://www.youtube.com/embed/KoPueruP_X0,6
"Hairdressing",https://www.youtube.com/embed/6SDSDk1PAgk,4
"Hairdressing",https://www.youtube.com/embed/6SDSDk1PAgk,6
"Hairdressing",https://www.youtube.com/embed/8Q09RtXCCeI,4
"Hairdressing",https://www.youtube.com/embed/8Q09RtXCCeI,6
"Health Protection Officer",https://www.youtube.com/embed/VzK59mUGMxE,3
"Health Protection Officer",https://www.youtube.com/embed/VzK59mUGMxE,3
"Health Protection Officer and a Public Health Nurse",https://www.youtube.com/embed/CU3WAvW_CW0,3
"Heating, Ventilation and Air Conditioning",https://www.youtube.com/embed/_Er_J28Kj4w,7
"Heating, Ventilation and Air Conditioning",https://www.youtube.com/embed/_Er_J28Kj4w,8
"Heating, Ventilation and Air Conditioning ",https://www.youtube.com/embed/h6t5f7wKUWI,7
"Heating, Ventilation and Air Conditioning ",https://www.youtube.com/embed/h6t5f7wKUWI,8
"Hire Industry",https://www.youtube.com/embed/-k_nFcclIpY,4
"Hospital and Operating Theatre",https://www.youtube.com/embed/jlJnQOQN6sU,3
"Hospital Theatre",https://www.youtube.com/embed/qeY7EmIv7vw,4
"Hospitality",https://www.youtube.com/embed/YtbJvGvaXtk,4
"Inland Revenue",https://www.youtube.com/embed/oH5ghvUUTqw,3
"Inland Revenue",https://www.youtube.com/embed/oH5ghvUUTqw,4
"Interior Designer ",https://www.youtube.com/embed/L5frPQ4Kz1w,6
"Interior Designer ",https://www.youtube.com/embed/L5frPQ4Kz1w,7
"Interior Systems",https://www.youtube.com/embed/bfMqjTBZS1Y,7
"Interior Systems",https://www.youtube.com/embed/bfMqjTBZS1Y,8
"Irrigation",https://www.youtube.com/embed/TxwRvsrU1Zg,5
"Irrigation",https://www.youtube.com/embed/TxwRvsrU1Zg,8
"KFC",https://www.youtube.com/embed/vcbiM5RVnZ4,4
"Kura Kaupapa Primary Teacher",https://www.youtube.com/embed/CDeTYnlh6n4,3
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,5
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,6
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,7
"Line Fishing",https://www.youtube.com/embed/yAQTNIy_zu0,5
"Log Transportation",https://www.youtube.com/embed/G1z0PAjzcDc,4
"Logistics and Freight Forwarding ",https://www.youtube.com/embed/YiLHsTf1Ldk,4
"Maritime Hospitality - Interislander",https://www.youtube.com/embed/YYVzYiTE8_o,5
"McDonalds",https://www.youtube.com/embed/54kt0xYOlMo,4
"McDonalds - Crew Member",https://www.youtube.com/embed/3LF_ofBrgfU,4
"McDonalds - Head Office Careers NZ",https://www.youtube.com/embed/PTtwH4z0Zjk,4
"McDonalds - Restaurant Manager",https://www.youtube.com/embed/1mARKTY_LVo,4
"Meat Processing",https://www.youtube.com/embed/E5O4l7wkZ9A,5
